Price_2015,Tobac_Use_M,Tobac_Use_F,Tax_2015,Happiness_Score,Afford_2015,Ban_Score_Dir_Ads,Ban_Score_Indr_Ads,Ban_Score_add_indir_ads,Warn_Score,Ban_Score_places
1.905,51.2,7.6,65.195,4.959,3.92,8,8,3,50.0,8
2.22,29.5,18.4,75.045,6.574,1.31,7,10,5,50.0,8
1.37,52.3,1.5,34.165,4.35,3.945,5,2,0,50.0,3
6.06,35.5,34.8,74.83500000000002,7.2,1.225,7,8,5,65.0,2
1.78,46.5,0.4,17.705,5.2120000000000015,2.055,8,8,3,30.0,3
3.325,48.8,7.6,16.665,5.96,1.05,7,10,5,50.0,0
0.515,39.8,0.7,62.0,4.694,3.58,8,5,2,50.0,5
0.58,46.2,10.6,50.335,5.813,0.6799999999999999,7,4,3,50.0,0
7.385,26.5,20.0,75.815,6.937,1.56,6,5,4,65.0,1
0.935,17.7,1.0,7.58,3.34,11.195,8,9,5,75.0,8
2.545,47.2,30.0,83.175,4.949,4.365,6,2,1,52.708737864077676,0
2.225,19.3,11.3,66.445,6.983,1.89,8,7,3,65.0,8
2.995,42.4,28.2,82.945,4.218,4.065,5,2,1,65.0,8
1.06,36.0,4.5,33.505,3.587,14.45,7,7,6,60.0,8
0.465,44.1,2.8,23.72,3.819,4.275,8,1,4,55.0,8
0.935,43.8,0.9,19.74,4.252,6.869999999999999,6,2,0,70.0,3
8.19,17.7,12.2,68.005,7.427,1.635,5,5,0,75.0,7
3.13,40.0,36.0,85.99,6.67,2.12,8,5,0,50.0,8
1.905,47.6,1.8,53.575,5.14,2.55,7,3,1,35.0,1
1.1,16.0,6.2,49.475,6.477,1.57,8,8,4,30.0,8
1.5250001,23.1,6.0,44.33,3.956,15.44,4,3,0,40.0,5
3.03,18.5,8.3,56.425,7.226,2.71,8,8,7,50.0,8
3.8049998,39.4,33.5,76.215,5.759,2.76,8,9,7,65.0,6
3.47,37.4,29.0,77.44,6.505,1.755,6,4,0,65.0,4
7.23,17.6,16.4,74.75,7.527,1.215,7,5,2,65.0,1
4.1499996,14.0,3.3,72.10499999999998,5.975,4.7349999999999985,7,7,3,60.0,8
1.125,49.9,0.3,73.315,4.194,3.105,8,7,0,50.0,8
4.45,41.2,24.9,77.22,5.4289999999999985,2.31,7,3,1,50.0,1
0.725,8.9,0.5,18.77,4.512,10.825,8,6,5,30.0,3
7.0550003,23.2,18.5,83.25,7.4060000000000015,1.385,7,8,7,65.0,1
8.575,29.8,25.6,80.3,6.575,1.98,6,9,6,65.0,3
1.16,57.7,5.7,59.3,4.297,2.8,8,9,6,65.0,7
6.995,32.4,28.3,71.64500000000002,6.75,1.52,6,3,0,65.0,0
1.04,13.1,0.4,28.205,4.633,6.2,8,10,6,50.0,0
4.8999996,52.6,32.7,80.275,4.857,2.3,5,3,2,65.0,8
1.8199999,33.3,2.1,35.535,4.788,7.025,6,0,2,50.0,8
4.19,32.0,24.8,75.39,4.8,2.825,6,6,2,65.0,7
10.62,17.0,15.1,55.965,7.561,1.835,7,7,4,35.0,1
2.3249998,20.4,1.9,47.02,4.565,13.09,7,8,3,85.0,6
0.575,21.5,0.7,23.075000000000006,4.686,1.15,8,10,7,50.0,8
12.42,22.4,21.9,78.03,6.94,2.345,6,4,3,65.0,8
9.025,41.2,19.3,78.725,7.278,2.03,2,3,0,30.0,3
6.235,28.3,19.7,75.81,5.948,1.865,7,1,0,65.0,0
7.475,29.9,5.9,43.71,5.709,14.215,2,0,0,60.0,8
1.76,70.2,10.7,83.08000000000001,5.192,4.08,8,2,2,40.0,4
0.985,43.9,9.3,42.24500000000001,5.855,0.815,8,4,2,50.0,5
1.21,24.6,2.1,50.52,4.419,8.28,8,10,6,40.0,0
0.745,50.4,3.6,38.765,5.2860000000000005,4.7650000000000015,7,7,3,50.0,4
3.67,48.9,24.3,78.36,5.098,2.455,7,3,2,65.0,6
2.16,45.4,31.0,42.29,4.839,1.9,8,9,5,40.0,8
3.5500002,38.1,22.2,75.41,5.832999999999998,2.1950000000000003,7,8,6,65.0,4
6.235,25.8,21.4,70.47999999999998,6.9460000000000015,0.55,6,8,5,65.0,3
3.975,43.0,1.4,54.04,5.77,3.185,8,5,2,55.0,0
1.395,36.8,3.2,27.69,3.995,17.335,7,9,5,30.0,0
6.1549997,29.7,20.2,76.31,6.3020000000000005,2.4400000000000004,7,6,0,65.0,8
1.3,44.0,3.7,8.185,4.436,10.015,8,5,6,70.0,2
3.8899998999999994,40.1,3.3,71.375,5.477,3.89,8,9,6,65.0,7
2.98,20.8,6.6,67.445,7.187,3.02,4,7,5,65.0,1
0.84000003,47.7,5.3,60.185,4.874,1.735,8,9,6,65.0,5
2.2199998,45.4,1.4,70.85,5.013,6.965,4,4,1,52.708737864077676,5
0.745,31.4,5.9,31.125,4.971,15.1,6,3,1,28.0,1
0.69500005,31.6,6.4,42.645,4.307,5.7650000000000015,7,3,4,75.0,5
7.91,26.2,23.9,72.80000000000003,7.377999999999999,1.525,6,9,4,65.0,0
1.06,17.4,1.1,20.63,5.268,4.395,8,10,7,50.0,0
2.4699998,21.0,1.0,21.11,6.853,1.04,8,1,0,50.0,0
0.56,41.9,3.0,62.75,5.194,3.215,6,5,0,60.0,8
4.25,10.6,2.6,56.52,6.7860000000000005,3.3200000000000003,8,10,6,50.0,8
0.35500002,28.3,7.9,16.7,5.877999999999999,0.6100000000000001,7,7,6,40.0,6
0.74,43.0,8.5,68.42,5.073,1.74,7,2,0,50.0,5
4.0699997,32.4,23.7,79.265,5.791,2.87,8,5,2,65.0,3
5.675,31.5,13.7,74.03,5.102,2.66,6,7,5,65.0,6
4.185,36.9,22.7,73.62,5.124,4.445,6,3,1,65.0,8
2.935,27.9,2.9,18.335,6.4110000000000005,1.015,8,8,4,65.0,6
0.935,23.4,0.7,36.5,3.904,6.73,8,9,4,70.0,7
1.965,43.6,39.7,77.815,5.122999999999998,2.655,7,4,1,35.0,5
10.045,28.0,5.0,66.23,6.797999999999999,1.77,8,4,6,50.0,5
3.625,39.7,17.6,79.80000000000003,5.995,2.025,7,5,5,65.0,4
4.255,22.3,18.1,79.475,5.848,1.77,8,9,7,65.0,3
2.74,31.4,6.5,49.185,4.642,4.4849999999999985,5,7,3,20.0,0
5.9049997,31.3,27.1,78.345,6.329,2.085,7,9,5,65.0,8
5.735,28.4,0.4,66.07,4.271,11.86,6,7,1,80.0,6
7.945,20.4,20.8,68.67,7.364,1.415,7,4,0,65.0,0
8.98,26.9,19.7,61.03,7.5870000000000015,1.025,3,0,0,43.0,0
2.25,41.4,2.3,73.305,6.455,3.28,8,6,5,85.0,8
3.57,39.5,12.4,82.59,5.332000000000002,3.085,8,10,5,85.0,8
0.91999996,16.4,2.9,39.215,3.931,12.56,8,10,7,65.0,8
0.66499996,49.4,14.0,80.19,4.681,2.425,7,6,5,50.0,7
11.815,19.9,18.4,81.33,6.867000000000001,2.555,7,6,2,65.0,8
6.33,19.5,15.0,42.775,7.119,1.1549999999999998,2,0,0,50.0,1
3.525,26.7,19.4,66.13,6.485,2.245,8,10,6,80.0,8
0.975,24.9,1.3,34.195,6.002999999999999,4.865,5,2,1,40.0,1
0.895,47.1,1.3,33.730000000000004,5.36,4.21,8,7,4,50.0,6
